Epoch: [0][0/2743]	Time 0.402 (0.402)	Data 0.108 (0.108)	Loss 5.7093 (5.7093)	Prec@1 0.000 (0.000)	Prec@5 3.125 (3.125)
Epoch: [0][100/2743]	Time 0.017 (0.020)	Data 0.000 (0.001)	Loss 5.6980 (5.7005)	Prec@1 0.000 (0.340)	Prec@5 3.125 (2.228)
Epoch: [0][200/2743]	Time 0.017 (0.018)	Data 0.000 (0.001)	Loss 5.7072 (5.6989)	Prec@1 3.125 (0.498)	Prec@5 3.125 (2.208)
Epoch: [0][300/2743]	Time 0.016 (0.018)	Data 0.000 (0.000)	Loss 5.7012 (5.6964)	Prec@1 0.000 (0.571)	Prec@5 6.250 (2.284)
Epoch: [0][400/2743]	Time 0.017 (0.017)	Data 0.000 (0.000)	Loss 5.7146 (5.6934)	Prec@1 3.125 (0.639)	Prec@5 3.125 (2.470)
Epoch: [0][500/2743]	Time 0.016 (0.017)	Data 0.000 (0.000)	Loss 5.6908 (5.6904)	Prec@1 3.125 (0.642)	Prec@5 3.125 (2.576)
Epoch: [0][600/2743]	Time 0.016 (0.017)	Data 0.000 (0.000)	Loss 5.7069 (5.6885)	Prec@1 0.000 (0.619)	Prec@5 3.125 (2.496)
Epoch: [0][700/2743]	Time 0.016 (0.017)	Data 0.000 (0.000)	Loss 5.6414 (5.6864)	Prec@1 3.125 (0.597)	Prec@5 9.375 (2.537)
Epoch: [0][800/2743]	Time 0.016 (0.017)	Data 0.000 (0.000)	Loss 5.6588 (5.6843)	Prec@1 0.000 (0.574)	Prec@5 3.125 (2.579)
Epoch: [0][900/2743]	Time 0.017 (0.017)	Data 0.000 (0.000)	Loss 5.6568 (5.6842)	Prec@1 3.125 (0.579)	Prec@5 6.250 (2.542)
Epoch: [0][1000/2743]	Time 0.017 (0.017)	Data 0.000 (0.000)	Loss 5.7056 (5.6830)	Prec@1 0.000 (0.584)	Prec@5 6.250 (2.582)
Epoch: [0][1100/2743]	Time 0.016 (0.017)	Data 0.000 (0.000)	Loss 5.6906 (5.6823)	Prec@1 3.125 (0.588)	Prec@5 6.250 (2.620)
Epoch: [0][1200/2743]	Time 0.016 (0.017)	Data 0.000 (0.000)	Loss 5.6280 (5.6816)	Prec@1 0.000 (0.570)	Prec@5 3.125 (2.618)
Epoch: [0][1300/2743]	Time 0.017 (0.017)	Data 0.000 (0.000)	Loss 5.6393 (5.6804)	Prec@1 0.000 (0.576)	Prec@5 3.125 (2.652)
Epoch: [0][1400/2743]	Time 0.017 (0.017)	Data 0.000 (0.000)	Loss 5.6696 (5.6799)	Prec@1 3.125 (0.587)	Prec@5 3.125 (2.677)
Epoch: [0][1500/2743]	Time 0.017 (0.017)	Data 0.000 (0.000)	Loss 5.6890 (5.6794)	Prec@1 0.000 (0.585)	Prec@5 3.125 (2.652)
Epoch: [0][1600/2743]	Time 0.017 (0.017)	Data 0.000 (0.000)	Loss 5.6423 (5.6788)	Prec@1 0.000 (0.593)	Prec@5 0.000 (2.658)
Epoch: [0][1700/2743]	Time 0.017 (0.017)	Data 0.000 (0.000)	Loss 5.7121 (5.6788)	Prec@1 0.000 (0.592)	Prec@5 3.125 (2.655)
Epoch: [0][1800/2743]	Time 0.016 (0.017)	Data 0.000 (0.000)	Loss 5.6616 (5.6781)	Prec@1 0.000 (0.585)	Prec@5 0.000 (2.660)
Epoch: [0][1900/2743]	Time 0.017 (0.017)	Data 0.000 (0.000)	Loss 5.6595 (5.6779)	Prec@1 0.000 (0.585)	Prec@5 0.000 (2.663)
Epoch: [0][2000/2743]	Time 0.017 (0.017)	Data 0.000 (0.000)	Loss 5.6386 (5.6778)	Prec@1 0.000 (0.584)	Prec@5 0.000 (2.699)
Epoch: [0][2100/2743]	Time 0.017 (0.017)	Data 0.000 (0.000)	Loss 5.6728 (5.6779)	Prec@1 3.125 (0.582)	Prec@5 6.250 (2.701)
Epoch: [0][2200/2743]	Time 0.017 (0.017)	Data 0.000 (0.000)	Loss 5.5834 (5.6770)	Prec@1 3.125 (0.572)	Prec@5 3.125 (2.736)
Epoch: [0][2300/2743]	Time 0.016 (0.017)	Data 0.000 (0.000)	Loss 5.6023 (5.6764)	Prec@1 3.125 (0.577)	Prec@5 9.375 (2.734)
Epoch: [0][2400/2743]	Time 0.016 (0.017)	Data 0.000 (0.000)	Loss 5.5944 (5.6760)	Prec@1 3.125 (0.583)	Prec@5 12.500 (2.737)
Epoch: [0][2500/2743]	Time 0.016 (0.017)	Data 0.000 (0.000)	Loss 5.7005 (5.6757)	Prec@1 0.000 (0.579)	Prec@5 0.000 (2.748)
Epoch: [0][2600/2743]	Time 0.017 (0.017)	Data 0.000 (0.000)	Loss 5.6236 (5.6752)	Prec@1 0.000 (0.573)	Prec@5 0.000 (2.748)
Epoch: [0][2700/2743]	Time 0.017 (0.017)	Data 0.000 (0.000)	Loss 5.6526 (5.6752)	Prec@1 0.000 (0.570)	Prec@5 6.250 (2.750)
Epoch: [1][0/2743]	Time 0.121 (0.121)	Data 0.113 (0.113)	Loss 5.6816 (5.6816)	Prec@1 0.000 (0.000)	Prec@5 0.000 (0.000)
Epoch: [1][100/2743]	Time 0.016 (0.017)	Data 0.000 (0.001)	Loss 5.6152 (5.6633)	Prec@1 0.000 (0.650)	Prec@5 0.000 (3.032)
Epoch: [1][200/2743]	Time 0.016 (0.017)	Data 0.000 (0.001)	Loss 5.5729 (5.6642)	Prec@1 0.000 (0.637)	Prec@5 3.125 (3.063)
Epoch: [1][300/2743]	Time 0.017 (0.017)	Data 0.000 (0.000)	Loss 5.6816 (5.6670)	Prec@1 3.125 (0.623)	Prec@5 6.250 (2.938)
Epoch: [1][400/2743]	Time 0.015 (0.017)	Data 0.000 (0.000)	Loss 5.6938 (5.6675)	Prec@1 0.000 (0.616)	Prec@5 3.125 (2.993)
Epoch: [1][500/2743]	Time 0.017 (0.017)	Data 0.000 (0.000)	Loss 5.7326 (5.6668)	Prec@1 0.000 (0.605)	Prec@5 3.125 (2.932)
Epoch: [1][600/2743]	Time 0.017 (0.017)	Data 0.000 (0.000)	Loss 5.6764 (5.6679)	Prec@1 0.000 (0.598)	Prec@5 3.125 (2.917)
Epoch: [1][700/2743]	Time 0.016 (0.017)	Data 0.000 (0.000)	Loss 5.6097 (5.6675)	Prec@1 3.125 (0.606)	Prec@5 6.250 (2.884)
Epoch: [1][800/2743]	Time 0.016 (0.017)	Data 0.000 (0.000)	Loss 5.6328 (5.6673)	Prec@1 0.000 (0.624)	Prec@5 3.125 (2.899)
Epoch: [1][900/2743]	Time 0.017 (0.017)	Data 0.000 (0.000)	Loss 5.6112 (5.6669)	Prec@1 0.000 (0.628)	Prec@5 6.250 (2.906)
Epoch: [1][1000/2743]	Time 0.016 (0.017)	Data 0.000 (0.000)	Loss 5.6551 (5.6657)	Prec@1 3.125 (0.618)	Prec@5 3.125 (2.878)
Epoch: [1][1100/2743]	Time 0.016 (0.017)	Data 0.000 (0.000)	Loss 5.6297 (5.6660)	Prec@1 3.125 (0.624)	Prec@5 6.250 (2.872)
Epoch: [1][1200/2743]	Time 0.016 (0.017)	Data 0.000 (0.000)	Loss 5.6580 (5.6663)	Prec@1 0.000 (0.609)	Prec@5 0.000 (2.841)
Epoch: [1][1300/2743]	Time 0.016 (0.017)	Data 0.000 (0.000)	Loss 5.5519 (5.6660)	Prec@1 3.125 (0.610)	Prec@5 9.375 (2.861)
Epoch: [1][1400/2743]	Time 0.017 (0.017)	Data 0.000 (0.000)	Loss 5.6171 (5.6659)	Prec@1 0.000 (0.613)	Prec@5 6.250 (2.920)
Epoch: [1][1500/2743]	Time 0.016 (0.017)	Data 0.000 (0.000)	Loss 5.5966 (5.6660)	Prec@1 3.125 (0.612)	Prec@5 12.500 (2.913)
Epoch: [1][1600/2743]	Time 0.016 (0.017)	Data 0.000 (0.000)	Loss 5.6132 (5.6660)	Prec@1 0.000 (0.623)	Prec@5 0.000 (2.934)
Epoch: [1][1700/2743]	Time 0.016 (0.017)	Data 0.000 (0.000)	Loss 5.7095 (5.6663)	Prec@1 0.000 (0.610)	Prec@5 0.000 (2.899)
Epoch: [1][1800/2743]	Time 0.017 (0.017)	Data 0.000 (0.000)	Loss 5.5938 (5.6665)	Prec@1 0.000 (0.614)	Prec@5 6.250 (2.889)
Epoch: [1][1900/2743]	Time 0.016 (0.017)	Data 0.000 (0.000)	Loss 5.7023 (5.6667)	Prec@1 0.000 (0.621)	Prec@5 0.000 (2.882)
Epoch: [1][2000/2743]	Time 0.016 (0.017)	Data 0.000 (0.000)	Loss 5.7041 (5.6661)	Prec@1 0.000 (0.631)	Prec@5 3.125 (2.899)
Epoch: [1][2100/2743]	Time 0.016 (0.017)	Data 0.000 (0.000)	Loss 5.6683 (5.6660)	Prec@1 0.000 (0.629)	Prec@5 0.000 (2.903)
Epoch: [1][2200/2743]	Time 0.016 (0.017)	Data 0.000 (0.000)	Loss 5.6502 (5.6657)	Prec@1 0.000 (0.620)	Prec@5 3.125 (2.905)
Epoch: [1][2300/2743]	Time 0.017 (0.017)	Data 0.000 (0.000)	Loss 5.5538 (5.6657)	Prec@1 0.000 (0.618)	Prec@5 6.250 (2.895)
Epoch: [1][2400/2743]	Time 0.016 (0.017)	Data 0.000 (0.000)	Loss 5.7933 (5.6654)	Prec@1 0.000 (0.617)	Prec@5 3.125 (2.886)
Epoch: [1][2500/2743]	Time 0.016 (0.017)	Data 0.000 (0.000)	Loss 5.6064 (5.6651)	Prec@1 6.250 (0.630)	Prec@5 12.500 (2.906)
Epoch: [1][2600/2743]	Time 0.016 (0.017)	Data 0.000 (0.000)	Loss 5.6336 (5.6650)	Prec@1 0.000 (0.633)	Prec@5 3.125 (2.911)
Epoch: [1][2700/2743]	Time 0.016 (0.017)	Data 0.000 (0.000)	Loss 5.5458 (5.6645)	Prec@1 0.000 (0.633)	Prec@5 6.250 (2.910)
Epoch: [2][0/2743]	Time 0.125 (0.125)	Data 0.116 (0.116)	Loss 5.6403 (5.6403)	Prec@1 3.125 (3.125)	Prec@5 3.125 (3.125)
Epoch: [2][100/2743]	Time 0.017 (0.018)	Data 0.000 (0.001)	Loss 5.5963 (5.6490)	Prec@1 0.000 (0.866)	Prec@5 0.000 (3.032)
Epoch: [2][200/2743]	Time 0.017 (0.017)	Data 0.000 (0.001)	Loss 5.6455 (5.6443)	Prec@1 0.000 (0.886)	Prec@5 0.000 (3.296)
Epoch: [2][300/2743]	Time 0.016 (0.017)	Data 0.000 (0.000)	Loss 5.6924 (5.6369)	Prec@1 0.000 (0.893)	Prec@5 3.125 (3.509)
Epoch: [2][400/2743]	Time 0.016 (0.017)	Data 0.000 (0.000)	Loss 5.6181 (5.6350)	Prec@1 0.000 (0.896)	Prec@5 0.000 (3.671)
Epoch: [2][500/2743]	Time 0.018 (0.017)	Data 0.000 (0.000)	Loss 5.6882 (5.6322)	Prec@1 0.000 (0.967)	Prec@5 0.000 (3.880)
Epoch: [2][600/2743]	Time 0.016 (0.017)	Data 0.000 (0.000)	Loss 5.5438 (5.6255)	Prec@1 0.000 (1.061)	Prec@5 6.250 (4.071)
Epoch: [2][700/2743]	Time 0.016 (0.017)	Data 0.000 (0.000)	Loss 5.4634 (5.6158)	Prec@1 0.000 (1.186)	Prec@5 9.375 (4.284)
Epoch: [2][800/2743]	Time 0.016 (0.017)	Data 0.000 (0.000)	Loss 5.4749 (5.6010)	Prec@1 0.000 (1.241)	Prec@5 3.125 (4.584)
Epoch: [2][900/2743]	Time 0.017 (0.017)	Data 0.000 (0.000)	Loss 5.3940 (5.5842)	Prec@1 0.000 (1.276)	Prec@5 3.125 (4.762)
Epoch: [2][1000/2743]	Time 0.016 (0.017)	Data 0.000 (0.000)	Loss 5.4102 (5.5665)	Prec@1 0.000 (1.330)	Prec@5 3.125 (5.023)
Epoch: [2][1100/2743]	Time 0.016 (0.017)	Data 0.000 (0.000)	Loss 5.4259 (5.5469)	Prec@1 0.000 (1.408)	Prec@5 0.000 (5.296)
Epoch: [2][1200/2743]	Time 0.017 (0.017)	Data 0.000 (0.000)	Loss 5.8243 (5.5284)	Prec@1 3.125 (1.496)	Prec@5 3.125 (5.584)
Epoch: [2][1300/2743]	Time 0.016 (0.017)	Data 0.000 (0.000)	Loss 5.0741 (5.5087)	Prec@1 9.375 (1.573)	Prec@5 21.875 (5.873)
Epoch: [2][1400/2743]	Time 0.016 (0.017)	Data 0.000 (0.000)	Loss 5.1332 (5.4915)	Prec@1 3.125 (1.653)	Prec@5 9.375 (6.103)
Epoch: [2][1500/2743]	Time 0.016 (0.017)	Data 0.000 (0.000)	Loss 5.1123 (5.4713)	Prec@1 3.125 (1.701)	Prec@5 15.625 (6.481)
Epoch: [2][1600/2743]	Time 0.016 (0.017)	Data 0.000 (0.000)	Loss 4.8445 (5.4522)	Prec@1 3.125 (1.790)	Prec@5 18.750 (6.802)
Epoch: [2][1700/2743]	Time 0.016 (0.017)	Data 0.000 (0.000)	Loss 5.1028 (5.4326)	Prec@1 6.250 (1.922)	Prec@5 15.625 (7.134)
Epoch: [2][1800/2743]	Time 0.016 (0.017)	Data 0.000 (0.000)	Loss 5.2673 (5.4107)	Prec@1 0.000 (2.072)	Prec@5 12.500 (7.546)
Epoch: [2][1900/2743]	Time 0.016 (0.017)	Data 0.000 (0.000)	Loss 5.8075 (5.3929)	Prec@1 3.125 (2.157)	Prec@5 9.375 (7.868)
Epoch: [2][2000/2743]	Time 0.017 (0.017)	Data 0.000 (0.000)	Loss 4.8077 (5.3729)	Prec@1 6.250 (2.285)	Prec@5 25.000 (8.251)
Epoch: [2][2100/2743]	Time 0.016 (0.017)	Data 0.000 (0.000)	Loss 4.8233 (5.3537)	Prec@1 3.125 (2.389)	Prec@5 18.750 (8.645)
Epoch: [2][2200/2743]	Time 0.017 (0.017)	Data 0.000 (0.000)	Loss 5.0466 (5.3325)	Prec@1 3.125 (2.524)	Prec@5 12.500 (9.047)
Epoch: [2][2300/2743]	Time 0.016 (0.017)	Data 0.000 (0.000)	Loss 5.0042 (5.3140)	Prec@1 0.000 (2.636)	Prec@5 6.250 (9.469)
Epoch: [2][2400/2743]	Time 0.017 (0.017)	Data 0.000 (0.000)	Loss 5.2022 (5.2943)	Prec@1 0.000 (2.761)	Prec@5 3.125 (9.845)
Epoch: [2][2500/2743]	Time 0.017 (0.016)	Data 0.000 (0.000)	Loss 4.8756 (5.2760)	Prec@1 0.000 (2.881)	Prec@5 18.750 (10.178)
Epoch: [2][2600/2743]	Time 0.017 (0.016)	Data 0.000 (0.000)	Loss 4.6331 (5.2551)	Prec@1 6.250 (3.022)	Prec@5 28.125 (10.587)
Epoch: [2][2700/2743]	Time 0.016 (0.016)	Data 0.000 (0.000)	Loss 4.4036 (5.2359)	Prec@1 12.500 (3.176)	Prec@5 28.125 (10.997)
Epoch: [3][0/2743]	Time 0.119 (0.119)	Data 0.111 (0.111)	Loss 4.4554 (4.4554)	Prec@1 9.375 (9.375)	Prec@5 37.500 (37.500)
Epoch: [3][100/2743]	Time 0.016 (0.018)	Data 0.000 (0.001)	Loss 4.7828 (4.6537)	Prec@1 9.375 (7.302)	Prec@5 25.000 (23.329)
Epoch: [3][200/2743]	Time 0.016 (0.017)	Data 0.000 (0.001)	Loss 4.0575 (4.6557)	Prec@1 18.750 (7.447)	Prec@5 34.375 (22.715)
Epoch: [3][300/2743]	Time 0.016 (0.017)	Data 0.000 (0.000)	Loss 4.0873 (4.6399)	Prec@1 12.500 (7.766)	Prec@5 40.625 (23.380)
Epoch: [3][400/2743]	Time 0.016 (0.017)	Data 0.000 (0.000)	Loss 4.3453 (4.6246)	Prec@1 9.375 (7.933)	Prec@5 25.000 (23.753)
Epoch: [3][500/2743]	Time 0.016 (0.017)	Data 0.000 (0.000)	Loss 4.4063 (4.6087)	Prec@1 12.500 (8.327)	Prec@5 28.125 (24.233)
Epoch: [3][600/2743]	Time 0.016 (0.017)	Data 0.000 (0.000)	Loss 4.3054 (4.5927)	Prec@1 15.625 (8.564)	Prec@5 37.500 (24.594)
Epoch: [3][700/2743]	Time 0.017 (0.017)	Data 0.000 (0.000)	Loss 4.4377 (4.5698)	Prec@1 12.500 (8.840)	Prec@5 34.375 (25.040)
Epoch: [3][800/2743]	Time 0.016 (0.017)	Data 0.000 (0.000)	Loss 4.2512 (4.5544)	Prec@1 12.500 (9.098)	Prec@5 25.000 (25.464)
Epoch: [3][900/2743]	Time 0.016 (0.017)	Data 0.000 (0.000)	Loss 4.7195 (4.5316)	Prec@1 6.250 (9.385)	Prec@5 18.750 (25.985)
Epoch: [3][1000/2743]	Time 0.016 (0.017)	Data 0.000 (0.000)	Loss 4.0776 (4.5064)	Prec@1 3.125 (9.622)	Prec@5 31.250 (26.592)
Epoch: [3][1100/2743]	Time 0.018 (0.017)	Data 0.000 (0.000)	Loss 3.8668 (4.4821)	Prec@1 12.500 (9.886)	Prec@5 31.250 (27.251)
Epoch: [3][1200/2743]	Time 0.016 (0.017)	Data 0.000 (0.000)	Loss 4.0346 (4.4552)	Prec@1 25.000 (10.197)	Prec@5 28.125 (27.771)
Epoch: [3][1300/2743]	Time 0.016 (0.017)	Data 0.000 (0.000)	Loss 3.4296 (4.4316)	Prec@1 15.625 (10.523)	Prec@5 43.750 (28.375)
Epoch: [3][1400/2743]	Time 0.016 (0.017)	Data 0.000 (0.000)	Loss 4.0679 (4.4101)	Prec@1 12.500 (10.796)	Prec@5 43.750 (28.886)
Epoch: [3][1500/2743]	Time 0.016 (0.017)	Data 0.000 (0.000)	Loss 4.0279 (4.3874)	Prec@1 12.500 (11.091)	Prec@5 46.875 (29.430)
Epoch: [3][1600/2743]	Time 0.016 (0.017)	Data 0.000 (0.000)	Loss 3.5947 (4.3644)	Prec@1 12.500 (11.473)	Prec@5 43.750 (29.911)
Epoch: [3][1700/2743]	Time 0.016 (0.017)	Data 0.000 (0.000)	Loss 3.9919 (4.3399)	Prec@1 15.625 (11.771)	Prec@5 50.000 (30.456)
Epoch: [3][1800/2743]	Time 0.016 (0.017)	Data 0.000 (0.000)	Loss 3.8929 (4.3194)	Prec@1 18.750 (12.052)	Prec@5 43.750 (30.891)
Epoch: [3][1900/2743]	Time 0.016 (0.017)	Data 0.000 (0.000)	Loss 3.0573 (4.2974)	Prec@1 37.500 (12.385)	Prec@5 56.250 (31.446)
Epoch: [3][2000/2743]	Time 0.016 (0.017)	Data 0.000 (0.000)	Loss 3.6855 (4.2739)	Prec@1 18.750 (12.714)	Prec@5 46.875 (31.964)
Epoch: [3][2100/2743]	Time 0.016 (0.017)	Data 0.000 (0.000)	Loss 3.5532 (4.2509)	Prec@1 25.000 (13.071)	Prec@5 46.875 (32.546)
Epoch: [3][2200/2743]	Time 0.016 (0.017)	Data 0.000 (0.000)	Loss 3.2720 (4.2281)	Prec@1 28.125 (13.407)	Prec@5 46.875 (33.039)
Epoch: [3][2300/2743]	Time 0.017 (0.017)	Data 0.000 (0.000)	Loss 4.0168 (4.2054)	Prec@1 18.750 (13.754)	Prec@5 43.750 (33.552)
Epoch: [3][2400/2743]	Time 0.016 (0.016)	Data 0.000 (0.000)	Loss 3.5118 (4.1825)	Prec@1 25.000 (14.062)	Prec@5 46.875 (34.046)
Epoch: [3][2500/2743]	Time 0.016 (0.016)	Data 0.000 (0.000)	Loss 4.2891 (4.1629)	Prec@1 21.875 (14.368)	Prec@5 40.625 (34.536)
Epoch: [3][2600/2743]	Time 0.017 (0.016)	Data 0.000 (0.000)	Loss 4.1289 (4.1374)	Prec@1 12.500 (14.761)	Prec@5 40.625 (35.109)
Epoch: [3][2700/2743]	Time 0.016 (0.016)	Data 0.000 (0.000)	Loss 3.2732 (4.1166)	Prec@1 18.750 (15.037)	Prec@5 59.375 (35.544)
Epoch: [4][0/2743]	Time 0.120 (0.120)	Data 0.111 (0.111)	Loss 2.9210 (2.9210)	Prec@1 34.375 (34.375)	Prec@5 68.750 (68.750)
Epoch: [4][100/2743]	Time 0.016 (0.018)	Data 0.000 (0.001)	Loss 3.1649 (3.4462)	Prec@1 28.125 (25.712)	Prec@5 53.125 (49.598)
Epoch: [4][200/2743]	Time 0.017 (0.017)	Data 0.000 (0.001)	Loss 3.5878 (3.3896)	Prec@1 18.750 (26.617)	Prec@5 50.000 (51.228)
Epoch: [4][300/2743]	Time 0.016 (0.017)	Data 0.000 (0.000)	Loss 3.2024 (3.3667)	Prec@1 31.250 (26.620)	Prec@5 53.125 (51.568)
Epoch: [4][400/2743]	Time 0.017 (0.017)	Data 0.000 (0.000)	Loss 3.0529 (3.3467)	Prec@1 31.250 (27.011)	Prec@5 50.000 (51.995)
Epoch: [4][500/2743]	Time 0.017 (0.017)	Data 0.000 (0.000)	Loss 3.1746 (3.3346)	Prec@1 25.000 (27.196)	Prec@5 56.250 (52.676)
