Epoch: [0][0/2092]	Time 0.387 (0.387)	Data 0.091 (0.091)	Loss 5.7022 (5.7022)	Prec@1 0.000 (0.000)	Prec@5 0.000 (0.000)
Epoch: [0][100/2092]	Time 0.016 (0.020)	Data 0.000 (0.001)	Loss 5.7111 (5.7025)	Prec@1 0.000 (0.495)	Prec@5 0.000 (1.980)
Epoch: [0][200/2092]	Time 0.016 (0.018)	Data 0.000 (0.001)	Loss 5.6864 (5.6964)	Prec@1 3.125 (0.606)	Prec@5 3.125 (2.643)
Epoch: [0][300/2092]	Time 0.017 (0.018)	Data 0.000 (0.000)	Loss 5.6899 (5.6928)	Prec@1 0.000 (0.602)	Prec@5 0.000 (2.699)
Epoch: [0][400/2092]	Time 0.016 (0.017)	Data 0.000 (0.000)	Loss 5.6934 (5.6888)	Prec@1 0.000 (0.647)	Prec@5 3.125 (2.805)
Epoch: [0][500/2092]	Time 0.017 (0.017)	Data 0.000 (0.000)	Loss 5.7217 (5.6850)	Prec@1 0.000 (0.661)	Prec@5 0.000 (2.832)
Epoch: [0][600/2092]	Time 0.016 (0.017)	Data 0.000 (0.000)	Loss 5.7022 (5.6821)	Prec@1 0.000 (0.624)	Prec@5 3.125 (2.803)
Epoch: [0][700/2092]	Time 0.016 (0.017)	Data 0.000 (0.000)	Loss 5.6292 (5.6799)	Prec@1 0.000 (0.575)	Prec@5 0.000 (2.688)
Epoch: [0][800/2092]	Time 0.016 (0.017)	Data 0.000 (0.000)	Loss 5.5504 (5.6767)	Prec@1 3.125 (0.585)	Prec@5 6.250 (2.743)
Epoch: [0][900/2092]	Time 0.016 (0.017)	Data 0.000 (0.000)	Loss 5.7156 (5.6732)	Prec@1 0.000 (0.614)	Prec@5 0.000 (2.757)
Epoch: [0][1000/2092]	Time 0.022 (0.017)	Data 0.000 (0.000)	Loss 5.6989 (5.6713)	Prec@1 0.000 (0.590)	Prec@5 3.125 (2.769)
Epoch: [0][1100/2092]	Time 0.016 (0.017)	Data 0.000 (0.000)	Loss 5.7042 (5.6699)	Prec@1 3.125 (0.573)	Prec@5 6.250 (2.776)
Epoch: [0][1200/2092]	Time 0.016 (0.017)	Data 0.000 (0.000)	Loss 5.6558 (5.6676)	Prec@1 0.000 (0.596)	Prec@5 0.000 (2.813)
Epoch: [0][1300/2092]	Time 0.016 (0.017)	Data 0.000 (0.000)	Loss 5.6779 (5.6663)	Prec@1 0.000 (0.593)	Prec@5 0.000 (2.813)
