Epoch: [0][0/2092]	Time 0.421 (0.421)	Data 0.119 (0.119)	Loss 5.6991 (5.6991)	Prec@1 0.000 (0.000)	Prec@5 6.250 (6.250)
Epoch: [0][100/2092]	Time 0.017 (0.021)	Data 0.000 (0.001)	Loss 5.7042 (5.7029)	Prec@1 0.000 (0.464)	Prec@5 3.125 (1.733)
Epoch: [0][200/2092]	Time 0.017 (0.019)	Data 0.000 (0.001)	Loss 5.7260 (5.6973)	Prec@1 0.000 (0.498)	Prec@5 0.000 (2.363)
Epoch: [0][300/2092]	Time 0.016 (0.018)	Data 0.000 (0.000)	Loss 5.6800 (5.6935)	Prec@1 0.000 (0.478)	Prec@5 0.000 (2.481)
Epoch: [0][400/2092]	Time 0.016 (0.017)	Data 0.000 (0.000)	Loss 5.6286 (5.6896)	Prec@1 0.000 (0.483)	Prec@5 0.000 (2.541)
Epoch: [0][500/2092]	Time 0.016 (0.017)	Data 0.000 (0.000)	Loss 5.6469 (5.6860)	Prec@1 0.000 (0.530)	Prec@5 6.250 (2.626)
Epoch: [0][600/2092]	Time 0.016 (0.017)	Data 0.000 (0.000)	Loss 5.6344 (5.6824)	Prec@1 3.125 (0.541)	Prec@5 3.125 (2.595)
Epoch: [0][700/2092]	Time 0.016 (0.017)	Data 0.000 (0.000)	Loss 5.6588 (5.6793)	Prec@1 0.000 (0.557)	Prec@5 0.000 (2.652)
Epoch: [0][800/2092]	Time 0.016 (0.017)	Data 0.000 (0.000)	Loss 5.6615 (5.6779)	Prec@1 3.125 (0.585)	Prec@5 3.125 (2.672)
Epoch: [0][900/2092]	Time 0.016 (0.017)	Data 0.000 (0.000)	Loss 5.6453 (5.6760)	Prec@1 0.000 (0.565)	Prec@5 0.000 (2.733)
Epoch: [0][1000/2092]	Time 0.017 (0.017)	Data 0.000 (0.000)	Loss 5.7002 (5.6732)	Prec@1 0.000 (0.590)	Prec@5 3.125 (2.778)
Epoch: [0][1100/2092]	Time 0.017 (0.017)	Data 0.000 (0.000)	Loss 5.5161 (5.6716)	Prec@1 9.375 (0.596)	Prec@5 9.375 (2.818)
Epoch: [0][1200/2092]	Time 0.016 (0.017)	Data 0.000 (0.000)	Loss 5.5515 (5.6706)	Prec@1 0.000 (0.583)	Prec@5 3.125 (2.815)
Epoch: [0][1300/2092]	Time 0.018 (0.017)	Data 0.000 (0.000)	Loss 5.7034 (5.6692)	Prec@1 0.000 (0.591)	Prec@5 0.000 (2.851)
Epoch: [0][1400/2092]	Time 0.017 (0.017)	Data 0.000 (0.000)	Loss 5.5896 (5.6675)	Prec@1 0.000 (0.616)	Prec@5 3.125 (2.873)
Epoch: [0][1500/2092]	Time 0.016 (0.017)	Data 0.000 (0.000)	Loss 5.6082 (5.6669)	Prec@1 3.125 (0.608)	Prec@5 6.250 (2.844)
Epoch: [0][1600/2092]	Time 0.017 (0.017)	Data 0.000 (0.000)	Loss 5.7144 (5.6662)	Prec@1 0.000 (0.591)	Prec@5 3.125 (2.836)
Epoch: [0][1700/2092]	Time 0.017 (0.017)	Data 0.000 (0.000)	Loss 5.6645 (5.6656)	Prec@1 0.000 (0.603)	Prec@5 0.000 (2.835)
Epoch: [0][1800/2092]	Time 0.016 (0.017)	Data 0.000 (0.000)	Loss 5.6039 (5.6647)	Prec@1 3.125 (0.609)	Prec@5 6.250 (2.866)
Epoch: [0][1900/2092]	Time 0.016 (0.017)	Data 0.000 (0.000)	Loss 5.6927 (5.6640)	Prec@1 3.125 (0.612)	Prec@5 3.125 (2.864)
Epoch: [0][2000/2092]	Time 0.016 (0.017)	Data 0.000 (0.000)	Loss 5.6348 (5.6636)	Prec@1 0.000 (0.611)	Prec@5 3.125 (2.863)
Epoch: [1][0/2092]	Time 0.135 (0.135)	Data 0.127 (0.127)	Loss 5.6770 (5.6770)	Prec@1 0.000 (0.000)	Prec@5 3.125 (3.125)
Epoch: [1][100/2092]	Time 0.017 (0.018)	Data 0.000 (0.001)	Loss 5.7273 (5.6488)	Prec@1 0.000 (0.433)	Prec@5 0.000 (3.063)
Epoch: [1][200/2092]	Time 0.016 (0.017)	Data 0.000 (0.001)	Loss 5.7657 (5.6467)	Prec@1 0.000 (0.591)	Prec@5 3.125 (3.156)
Epoch: [1][300/2092]	Time 0.016 (0.017)	Data 0.000 (0.000)	Loss 5.6959 (5.6481)	Prec@1 0.000 (0.498)	Prec@5 3.125 (2.949)
Epoch: [1][400/2092]	Time 0.016 (0.017)	Data 0.000 (0.000)	Loss 5.6140 (5.6470)	Prec@1 0.000 (0.553)	Prec@5 6.250 (3.125)
Epoch: [1][500/2092]	Time 0.017 (0.017)	Data 0.000 (0.000)	Loss 5.7392 (5.6482)	Prec@1 0.000 (0.580)	Prec@5 0.000 (3.175)
Epoch: [1][600/2092]	Time 0.016 (0.017)	Data 0.000 (0.000)	Loss 5.6945 (5.6467)	Prec@1 0.000 (0.608)	Prec@5 0.000 (3.172)
Epoch: [1][700/2092]	Time 0.018 (0.017)	Data 0.000 (0.000)	Loss 5.7308 (5.6468)	Prec@1 0.000 (0.624)	Prec@5 0.000 (3.196)
Epoch: [1][800/2092]	Time 0.017 (0.017)	Data 0.000 (0.000)	Loss 5.6949 (5.6463)	Prec@1 0.000 (0.601)	Prec@5 3.125 (3.191)
Epoch: [1][900/2092]	Time 0.016 (0.017)	Data 0.000 (0.000)	Loss 5.5946 (5.6458)	Prec@1 0.000 (0.631)	Prec@5 6.250 (3.236)
Epoch: [1][1000/2092]	Time 0.016 (0.017)	Data 0.000 (0.000)	Loss 5.6159 (5.6462)	Prec@1 0.000 (0.624)	Prec@5 0.000 (3.212)
Epoch: [1][1100/2092]	Time 0.017 (0.017)	Data 0.000 (0.000)	Loss 5.6104 (5.6461)	Prec@1 0.000 (0.641)	Prec@5 0.000 (3.204)
Epoch: [1][1200/2092]	Time 0.018 (0.017)	Data 0.000 (0.000)	Loss 5.5204 (5.6459)	Prec@1 0.000 (0.632)	Prec@5 0.000 (3.190)
Epoch: [1][1300/2092]	Time 0.017 (0.017)	Data 0.000 (0.000)	Loss 5.5882 (5.6455)	Prec@1 0.000 (0.646)	Prec@5 0.000 (3.173)
Epoch: [1][1400/2092]	Time 0.017 (0.017)	Data 0.000 (0.000)	Loss 5.5927 (5.6446)	Prec@1 0.000 (0.665)	Prec@5 0.000 (3.216)
Epoch: [1][1500/2092]	Time 0.016 (0.017)	Data 0.000 (0.000)	Loss 5.7205 (5.6441)	Prec@1 3.125 (0.670)	Prec@5 3.125 (3.227)
Epoch: [1][1600/2092]	Time 0.017 (0.017)	Data 0.000 (0.000)	Loss 5.5899 (5.6433)	Prec@1 0.000 (0.668)	Prec@5 6.250 (3.246)
Epoch: [1][1700/2092]	Time 0.016 (0.017)	Data 0.000 (0.000)	Loss 5.6548 (5.6420)	Prec@1 0.000 (0.676)	Prec@5 9.375 (3.254)
Epoch: [1][1800/2092]	Time 0.016 (0.017)	Data 0.000 (0.000)	Loss 5.6573 (5.6401)	Prec@1 0.000 (0.678)	Prec@5 3.125 (3.279)
Epoch: [1][1900/2092]	Time 0.017 (0.017)	Data 0.000 (0.000)	Loss 5.7259 (5.6382)	Prec@1 0.000 (0.692)	Prec@5 0.000 (3.329)
Epoch: [1][2000/2092]	Time 0.017 (0.017)	Data 0.000 (0.000)	Loss 5.5924 (5.6361)	Prec@1 0.000 (0.718)	Prec@5 0.000 (3.389)
Epoch: [2][0/2092]	Time 0.138 (0.138)	Data 0.129 (0.129)	Loss 5.5723 (5.5723)	Prec@1 0.000 (0.000)	Prec@5 3.125 (3.125)
Epoch: [2][100/2092]	Time 0.016 (0.018)	Data 0.000 (0.001)	Loss 5.6201 (5.5402)	Prec@1 0.000 (1.269)	Prec@5 9.375 (5.600)
Epoch: [2][200/2092]	Time 0.017 (0.017)	Data 0.000 (0.001)	Loss 5.6268 (5.5367)	Prec@1 3.125 (1.026)	Prec@5 6.250 (5.177)
Epoch: [2][300/2092]	Time 0.016 (0.017)	Data 0.000 (0.000)	Loss 5.5266 (5.5305)	Prec@1 0.000 (1.049)	Prec@5 6.250 (5.087)
Epoch: [2][400/2092]	Time 0.017 (0.017)	Data 0.000 (0.000)	Loss 5.4798 (5.5274)	Prec@1 0.000 (1.130)	Prec@5 6.250 (5.112)
