Epoch: [0][0/2429]	Time 0.388 (0.388)	Data 0.087 (0.087)	Loss 5.7110 (5.7110)	Prec@1 0.000 (0.000)	Prec@5 0.000 (0.000)
Epoch: [0][100/2429]	Time 0.017 (0.020)	Data 0.000 (0.001)	Loss 5.6836 (5.7004)	Prec@1 0.000 (0.526)	Prec@5 0.000 (2.073)
Epoch: [0][200/2429]	Time 0.016 (0.018)	Data 0.000 (0.001)	Loss 5.7095 (5.6970)	Prec@1 0.000 (0.513)	Prec@5 0.000 (2.348)
Epoch: [0][300/2429]	Time 0.016 (0.018)	Data 0.000 (0.000)	Loss 5.6845 (5.6942)	Prec@1 0.000 (0.540)	Prec@5 0.000 (2.367)
Epoch: [0][400/2429]	Time 0.017 (0.017)	Data 0.000 (0.000)	Loss 5.6349 (5.6904)	Prec@1 0.000 (0.561)	Prec@5 0.000 (2.618)
Epoch: [0][500/2429]	Time 0.016 (0.017)	Data 0.000 (0.000)	Loss 5.6601 (5.6876)	Prec@1 3.125 (0.642)	Prec@5 6.250 (2.794)
Epoch: [0][600/2429]	Time 0.017 (0.017)	Data 0.000 (0.000)	Loss 5.6974 (5.6843)	Prec@1 0.000 (0.640)	Prec@5 0.000 (2.870)
Epoch: [0][700/2429]	Time 0.017 (0.017)	Data 0.000 (0.000)	Loss 5.6649 (5.6826)	Prec@1 0.000 (0.624)	Prec@5 0.000 (2.831)
Epoch: [0][800/2429]	Time 0.017 (0.017)	Data 0.000 (0.000)	Loss 5.6377 (5.6797)	Prec@1 0.000 (0.644)	Prec@5 3.125 (2.922)
Epoch: [0][900/2429]	Time 0.016 (0.017)	Data 0.000 (0.000)	Loss 5.7351 (5.6775)	Prec@1 0.000 (0.656)	Prec@5 0.000 (2.962)
Epoch: [0][1000/2429]	Time 0.016 (0.017)	Data 0.000 (0.000)	Loss 5.6974 (5.6771)	Prec@1 0.000 (0.631)	Prec@5 0.000 (2.931)
Epoch: [0][1100/2429]	Time 0.017 (0.017)	Data 0.000 (0.000)	Loss 5.7041 (5.6758)	Prec@1 0.000 (0.627)	Prec@5 0.000 (2.889)
Epoch: [0][1200/2429]	Time 0.016 (0.017)	Data 0.000 (0.000)	Loss 5.6703 (5.6747)	Prec@1 0.000 (0.635)	Prec@5 3.125 (2.870)
Epoch: [0][1300/2429]	Time 0.017 (0.017)	Data 0.000 (0.000)	Loss 5.6504 (5.6733)	Prec@1 0.000 (0.600)	Prec@5 6.250 (2.897)
Epoch: [0][1400/2429]	Time 0.016 (0.017)	Data 0.000 (0.000)	Loss 5.7452 (5.6725)	Prec@1 0.000 (0.600)	Prec@5 0.000 (2.918)
Epoch: [0][1500/2429]	Time 0.016 (0.017)	Data 0.000 (0.000)	Loss 5.6137 (5.6720)	Prec@1 0.000 (0.593)	Prec@5 6.250 (2.888)
Epoch: [0][1600/2429]	Time 0.017 (0.017)	Data 0.000 (0.000)	Loss 5.7104 (5.6716)	Prec@1 0.000 (0.593)	Prec@5 3.125 (2.891)
Epoch: [0][1700/2429]	Time 0.017 (0.017)	Data 0.000 (0.000)	Loss 5.5862 (5.6707)	Prec@1 0.000 (0.604)	Prec@5 3.125 (2.930)
Epoch: [0][1800/2429]	Time 0.017 (0.017)	Data 0.000 (0.000)	Loss 5.5997 (5.6699)	Prec@1 0.000 (0.611)	Prec@5 0.000 (2.945)
Epoch: [0][1900/2429]	Time 0.016 (0.017)	Data 0.000 (0.000)	Loss 5.6755 (5.6693)	Prec@1 0.000 (0.612)	Prec@5 0.000 (2.931)
Epoch: [0][2000/2429]	Time 0.017 (0.017)	Data 0.000 (0.000)	Loss 5.6796 (5.6689)	Prec@1 0.000 (0.617)	Prec@5 3.125 (2.931)
Epoch: [0][2100/2429]	Time 0.016 (0.017)	Data 0.000 (0.000)	Loss 5.6953 (5.6683)	Prec@1 0.000 (0.617)	Prec@5 0.000 (2.939)
Epoch: [0][2200/2429]	Time 0.016 (0.017)	Data 0.000 (0.000)	Loss 5.5973 (5.6680)	Prec@1 0.000 (0.623)	Prec@5 0.000 (2.949)
Epoch: [0][2300/2429]	Time 0.016 (0.017)	Data 0.000 (0.000)	Loss 5.6495 (5.6678)	Prec@1 3.125 (0.618)	Prec@5 6.250 (2.959)
Epoch: [0][2400/2429]	Time 0.016 (0.017)	Data 0.000 (0.000)	Loss 5.6926 (5.6670)	Prec@1 0.000 (0.629)	Prec@5 0.000 (2.961)
Epoch: [1][0/2429]	Time 0.105 (0.105)	Data 0.096 (0.096)	Loss 5.6922 (5.6922)	Prec@1 0.000 (0.000)	Prec@5 0.000 (0.000)
Epoch: [1][100/2429]	Time 0.016 (0.017)	Data 0.000 (0.001)	Loss 5.7365 (5.6567)	Prec@1 0.000 (0.774)	Prec@5 6.250 (3.001)
Epoch: [1][200/2429]	Time 0.017 (0.017)	Data 0.000 (0.001)	Loss 5.6408 (5.6566)	Prec@1 0.000 (0.762)	Prec@5 0.000 (2.892)
Epoch: [1][300/2429]	Time 0.017 (0.017)	Data 0.000 (0.000)	Loss 5.7088 (5.6558)	Prec@1 0.000 (0.789)	Prec@5 0.000 (2.938)
Epoch: [1][400/2429]	Time 0.016 (0.017)	Data 0.000 (0.000)	Loss 5.7421 (5.6551)	Prec@1 3.125 (0.756)	Prec@5 3.125 (2.907)
Epoch: [1][500/2429]	Time 0.016 (0.017)	Data 0.000 (0.000)	Loss 5.6760 (5.6545)	Prec@1 0.000 (0.736)	Prec@5 3.125 (2.925)
Epoch: [1][600/2429]	Time 0.016 (0.017)	Data 0.000 (0.000)	Loss 5.6738 (5.6549)	Prec@1 3.125 (0.723)	Prec@5 9.375 (2.943)
Epoch: [1][700/2429]	Time 0.016 (0.017)	Data 0.000 (0.000)	Loss 5.7155 (5.6559)	Prec@1 0.000 (0.713)	Prec@5 0.000 (2.858)
Epoch: [1][800/2429]	Time 0.017 (0.017)	Data 0.000 (0.000)	Loss 5.7379 (5.6555)	Prec@1 0.000 (0.733)	Prec@5 3.125 (2.918)
Epoch: [1][900/2429]	Time 0.016 (0.017)	Data 0.000 (0.000)	Loss 5.7039 (5.6554)	Prec@1 0.000 (0.721)	Prec@5 0.000 (2.948)
Epoch: [1][1000/2429]	Time 0.016 (0.017)	Data 0.000 (0.000)	Loss 5.5799 (5.6550)	Prec@1 0.000 (0.721)	Prec@5 3.125 (2.956)
Epoch: [1][1100/2429]	Time 0.017 (0.017)	Data 0.000 (0.000)	Loss 5.7491 (5.6543)	Prec@1 0.000 (0.738)	Prec@5 0.000 (2.980)
Epoch: [1][1200/2429]	Time 0.016 (0.017)	Data 0.000 (0.000)	Loss 5.7334 (5.6541)	Prec@1 0.000 (0.716)	Prec@5 0.000 (2.945)
Epoch: [1][1300/2429]	Time 0.016 (0.017)	Data 0.000 (0.000)	Loss 5.6353 (5.6544)	Prec@1 3.125 (0.694)	Prec@5 3.125 (2.918)
Epoch: [1][1400/2429]	Time 0.016 (0.017)	Data 0.000 (0.000)	Loss 5.6227 (5.6555)	Prec@1 0.000 (0.683)	Prec@5 6.250 (2.906)
Epoch: [1][1500/2429]	Time 0.016 (0.017)	Data 0.000 (0.000)	Loss 5.6680 (5.6552)	Prec@1 0.000 (0.679)	Prec@5 0.000 (2.933)
Epoch: [1][1600/2429]	Time 0.016 (0.017)	Data 0.000 (0.000)	Loss 5.7161 (5.6554)	Prec@1 0.000 (0.671)	Prec@5 3.125 (2.924)
Epoch: [1][1700/2429]	Time 0.018 (0.017)	Data 0.000 (0.000)	Loss 5.6575 (5.6551)	Prec@1 3.125 (0.671)	Prec@5 6.250 (2.925)
Epoch: [1][1800/2429]	Time 0.016 (0.017)	Data 0.000 (0.000)	Loss 5.7292 (5.6552)	Prec@1 0.000 (0.663)	Prec@5 0.000 (2.912)
Epoch: [1][1900/2429]	Time 0.016 (0.017)	Data 0.000 (0.000)	Loss 5.6940 (5.6554)	Prec@1 0.000 (0.672)	Prec@5 3.125 (2.924)
Epoch: [1][2000/2429]	Time 0.016 (0.017)	Data 0.000 (0.000)	Loss 5.6429 (5.6556)	Prec@1 3.125 (0.673)	Prec@5 3.125 (2.955)
Epoch: [1][2100/2429]	Time 0.016 (0.017)	Data 0.000 (0.000)	Loss 5.5717 (5.6549)	Prec@1 0.000 (0.674)	Prec@5 3.125 (2.945)
Epoch: [1][2200/2429]	Time 0.016 (0.017)	Data 0.000 (0.000)	Loss 5.5892 (5.6549)	Prec@1 0.000 (0.660)	Prec@5 0.000 (2.953)
Epoch: [1][2300/2429]	Time 0.017 (0.017)	Data 0.000 (0.000)	Loss 5.6006 (5.6549)	Prec@1 3.125 (0.657)	Prec@5 6.250 (2.959)
Epoch: [1][2400/2429]	Time 0.016 (0.016)	Data 0.000 (0.000)	Loss 5.5457 (5.6551)	Prec@1 0.000 (0.665)	Prec@5 9.375 (2.984)
Epoch: [2][0/2429]	Time 0.104 (0.104)	Data 0.097 (0.097)	Loss 5.6183 (5.6183)	Prec@1 0.000 (0.000)	Prec@5 6.250 (6.250)
Epoch: [2][100/2429]	Time 0.016 (0.017)	Data 0.000 (0.001)	Loss 5.6260 (5.6508)	Prec@1 3.125 (0.897)	Prec@5 3.125 (3.280)
Epoch: [2][200/2429]	Time 0.017 (0.017)	Data 0.000 (0.001)	Loss 5.6193 (5.6504)	Prec@1 0.000 (0.948)	Prec@5 3.125 (3.420)
Epoch: [2][300/2429]	Time 0.016 (0.017)	Data 0.000 (0.000)	Loss 5.6410 (5.6498)	Prec@1 0.000 (0.820)	Prec@5 3.125 (3.405)
Epoch: [2][400/2429]	Time 0.017 (0.017)	Data 0.000 (0.000)	Loss 5.5731 (5.6495)	Prec@1 0.000 (0.849)	Prec@5 0.000 (3.351)
Epoch: [2][500/2429]	Time 0.016 (0.017)	Data 0.000 (0.000)	Loss 5.6441 (5.6507)	Prec@1 0.000 (0.823)	Prec@5 0.000 (3.375)
Epoch: [2][600/2429]	Time 0.016 (0.017)	Data 0.000 (0.000)	Loss 5.6027 (5.6514)	Prec@1 0.000 (0.780)	Prec@5 0.000 (3.312)
Epoch: [2][700/2429]	Time 0.017 (0.017)	Data 0.000 (0.000)	Loss 5.6383 (5.6514)	Prec@1 0.000 (0.767)	Prec@5 3.125 (3.308)
Epoch: [2][800/2429]	Time 0.017 (0.017)	Data 0.000 (0.000)	Loss 5.6233 (5.6518)	Prec@1 0.000 (0.749)	Prec@5 3.125 (3.258)
