Epoch: [0][0/2092]	Time 0.427 (0.427)	Data 0.120 (0.120)	Loss 5.7032 (5.7032)	Prec@1 0.000 (0.000)	Prec@5 0.000 (0.000)
Epoch: [0][100/2092]	Time 0.017 (0.021)	Data 0.000 (0.001)	Loss 5.6923 (5.7004)	Prec@1 0.000 (0.495)	Prec@5 6.250 (2.413)
Epoch: [0][200/2092]	Time 0.019 (0.019)	Data 0.000 (0.001)	Loss 5.7074 (5.6962)	Prec@1 0.000 (0.466)	Prec@5 3.125 (2.456)
Epoch: [0][300/2092]	Time 0.016 (0.018)	Data 0.000 (0.000)	Loss 5.6854 (5.6913)	Prec@1 0.000 (0.415)	Prec@5 3.125 (2.502)
Epoch: [0][400/2092]	Time 0.017 (0.018)	Data 0.000 (0.000)	Loss 5.6683 (5.6873)	Prec@1 0.000 (0.468)	Prec@5 6.250 (2.813)
Epoch: [0][500/2092]	Time 0.016 (0.017)	Data 0.000 (0.000)	Loss 5.6814 (5.6841)	Prec@1 0.000 (0.493)	Prec@5 3.125 (2.900)
Epoch: [0][600/2092]	Time 0.016 (0.017)	Data 0.000 (0.000)	Loss 5.6210 (5.6813)	Prec@1 0.000 (0.499)	Prec@5 6.250 (2.917)
Epoch: [0][700/2092]	Time 0.017 (0.017)	Data 0.000 (0.000)	Loss 5.7106 (5.6790)	Prec@1 0.000 (0.530)	Prec@5 0.000 (2.938)
Epoch: [0][800/2092]	Time 0.016 (0.017)	Data 0.000 (0.000)	Loss 5.5743 (5.6774)	Prec@1 0.000 (0.523)	Prec@5 3.125 (2.922)
Epoch: [0][900/2092]	Time 0.016 (0.017)	Data 0.000 (0.000)	Loss 5.6480 (5.6759)	Prec@1 3.125 (0.503)	Prec@5 3.125 (2.875)
Epoch: [0][1000/2092]	Time 0.016 (0.017)	Data 0.000 (0.000)	Loss 5.7205 (5.6736)	Prec@1 0.000 (0.521)	Prec@5 0.000 (2.888)
Epoch: [0][1100/2092]	Time 0.016 (0.017)	Data 0.000 (0.000)	Loss 5.6806 (5.6719)	Prec@1 0.000 (0.528)	Prec@5 6.250 (2.904)
Epoch: [0][1200/2092]	Time 0.016 (0.017)	Data 0.000 (0.000)	Loss 5.6260 (5.6704)	Prec@1 0.000 (0.552)	Prec@5 6.250 (2.912)
Epoch: [0][1300/2092]	Time 0.017 (0.017)	Data 0.000 (0.000)	Loss 5.6359 (5.6690)	Prec@1 0.000 (0.555)	Prec@5 3.125 (2.933)
Epoch: [0][1400/2092]	Time 0.017 (0.017)	Data 0.000 (0.000)	Loss 5.6801 (5.6672)	Prec@1 3.125 (0.587)	Prec@5 6.250 (2.982)
