Epoch: [0][0/2743]	Time 0.417 (0.417)	Data 0.114 (0.114)	Loss 5.6996 (5.6996)	Prec@1 0.000 (0.000)	Prec@5 0.000 (0.000)
Epoch: [0][100/2743]	Time 0.016 (0.021)	Data 0.000 (0.001)	Loss 5.6993 (5.7024)	Prec@1 3.125 (0.402)	Prec@5 3.125 (1.887)
Epoch: [0][200/2743]	Time 0.016 (0.019)	Data 0.000 (0.001)	Loss 5.6831 (5.6994)	Prec@1 0.000 (0.466)	Prec@5 6.250 (2.130)
Epoch: [0][300/2743]	Time 0.016 (0.018)	Data 0.000 (0.000)	Loss 5.6861 (5.6972)	Prec@1 6.250 (0.498)	Prec@5 6.250 (2.149)
Epoch: [0][400/2743]	Time 0.016 (0.018)	Data 0.000 (0.000)	Loss 5.6915 (5.6944)	Prec@1 0.000 (0.483)	Prec@5 0.000 (2.260)
Epoch: [0][500/2743]	Time 0.016 (0.017)	Data 0.000 (0.000)	Loss 5.6404 (5.6923)	Prec@1 0.000 (0.480)	Prec@5 0.000 (2.333)
Epoch: [0][600/2743]	Time 0.017 (0.017)	Data 0.000 (0.000)	Loss 5.6384 (5.6901)	Prec@1 3.125 (0.478)	Prec@5 3.125 (2.402)
Epoch: [0][700/2743]	Time 0.016 (0.017)	Data 0.000 (0.000)	Loss 5.5969 (5.6884)	Prec@1 0.000 (0.473)	Prec@5 9.375 (2.412)
Epoch: [0][800/2743]	Time 0.016 (0.017)	Data 0.000 (0.000)	Loss 5.6666 (5.6878)	Prec@1 0.000 (0.488)	Prec@5 0.000 (2.403)
Epoch: [0][900/2743]	Time 0.016 (0.017)	Data 0.000 (0.000)	Loss 5.6849 (5.6863)	Prec@1 0.000 (0.506)	Prec@5 0.000 (2.449)
Epoch: [0][1000/2743]	Time 0.016 (0.017)	Data 0.000 (0.000)	Loss 5.6462 (5.6848)	Prec@1 0.000 (0.503)	Prec@5 3.125 (2.466)
Epoch: [0][1100/2743]	Time 0.017 (0.017)	Data 0.000 (0.000)	Loss 5.6885 (5.6842)	Prec@1 0.000 (0.500)	Prec@5 6.250 (2.486)
Epoch: [0][1200/2743]	Time 0.016 (0.017)	Data 0.000 (0.000)	Loss 5.6763 (5.6825)	Prec@1 0.000 (0.526)	Prec@5 0.000 (2.514)
Epoch: [0][1300/2743]	Time 0.017 (0.017)	Data 0.000 (0.000)	Loss 5.6641 (5.6816)	Prec@1 0.000 (0.531)	Prec@5 6.250 (2.556)
Epoch: [0][1400/2743]	Time 0.016 (0.017)	Data 0.000 (0.000)	Loss 5.6848 (5.6806)	Prec@1 0.000 (0.551)	Prec@5 3.125 (2.585)
Epoch: [0][1500/2743]	Time 0.016 (0.017)	Data 0.000 (0.000)	Loss 5.7371 (5.6799)	Prec@1 0.000 (0.550)	Prec@5 3.125 (2.575)
Epoch: [0][1600/2743]	Time 0.018 (0.017)	Data 0.000 (0.000)	Loss 5.6816 (5.6791)	Prec@1 0.000 (0.564)	Prec@5 6.250 (2.618)
Epoch: [0][1700/2743]	Time 0.016 (0.017)	Data 0.000 (0.000)	Loss 5.6114 (5.6784)	Prec@1 0.000 (0.577)	Prec@5 0.000 (2.649)
Epoch: [0][1800/2743]	Time 0.016 (0.017)	Data 0.000 (0.000)	Loss 5.6946 (5.6776)	Prec@1 0.000 (0.581)	Prec@5 3.125 (2.655)
Epoch: [0][1900/2743]	Time 0.017 (0.017)	Data 0.000 (0.000)	Loss 5.6896 (5.6778)	Prec@1 0.000 (0.577)	Prec@5 3.125 (2.663)
Epoch: [0][2000/2743]	Time 0.016 (0.017)	Data 0.000 (0.000)	Loss 5.6783 (5.6775)	Prec@1 0.000 (0.586)	Prec@5 0.000 (2.675)
Epoch: [0][2100/2743]	Time 0.016 (0.017)	Data 0.000 (0.000)	Loss 5.6519 (5.6770)	Prec@1 0.000 (0.590)	Prec@5 3.125 (2.692)
Epoch: [0][2200/2743]	Time 0.017 (0.017)	Data 0.000 (0.000)	Loss 5.6294 (5.6768)	Prec@1 0.000 (0.596)	Prec@5 6.250 (2.679)
Epoch: [0][2300/2743]	Time 0.017 (0.017)	Data 0.000 (0.000)	Loss 5.6638 (5.6761)	Prec@1 3.125 (0.595)	Prec@5 6.250 (2.700)
Epoch: [0][2400/2743]	Time 0.016 (0.017)	Data 0.000 (0.000)	Loss 5.6708 (5.6755)	Prec@1 0.000 (0.597)	Prec@5 6.250 (2.724)
Epoch: [0][2500/2743]	Time 0.017 (0.017)	Data 0.000 (0.000)	Loss 5.7043 (5.6755)	Prec@1 0.000 (0.595)	Prec@5 0.000 (2.721)
Epoch: [0][2600/2743]	Time 0.016 (0.017)	Data 0.000 (0.000)	Loss 5.6863 (5.6750)	Prec@1 3.125 (0.595)	Prec@5 3.125 (2.721)
Epoch: [0][2700/2743]	Time 0.016 (0.017)	Data 0.000 (0.000)	Loss 5.6810 (5.6746)	Prec@1 0.000 (0.595)	Prec@5 0.000 (2.746)
Epoch: [1][0/2743]	Time 0.127 (0.127)	Data 0.120 (0.120)	Loss 5.6068 (5.6068)	Prec@1 0.000 (0.000)	Prec@5 3.125 (3.125)
Epoch: [1][100/2743]	Time 0.017 (0.018)	Data 0.000 (0.001)	Loss 5.6136 (5.6615)	Prec@1 3.125 (0.897)	Prec@5 3.125 (3.403)
Epoch: [1][200/2743]	Time 0.016 (0.017)	Data 0.000 (0.001)	Loss 5.6762 (5.6642)	Prec@1 3.125 (0.871)	Prec@5 3.125 (3.389)
Epoch: [1][300/2743]	Time 0.017 (0.017)	Data 0.000 (0.000)	Loss 5.6891 (5.6673)	Prec@1 0.000 (0.789)	Prec@5 3.125 (3.104)
Epoch: [1][400/2743]	Time 0.017 (0.017)	Data 0.000 (0.000)	Loss 5.7222 (5.6676)	Prec@1 3.125 (0.725)	Prec@5 3.125 (3.039)
Epoch: [1][500/2743]	Time 0.017 (0.017)	Data 0.000 (0.000)	Loss 5.6704 (5.6679)	Prec@1 3.125 (0.699)	Prec@5 6.250 (2.969)
Epoch: [1][600/2743]	Time 0.016 (0.017)	Data 0.000 (0.000)	Loss 5.6223 (5.6671)	Prec@1 0.000 (0.645)	Prec@5 3.125 (2.917)
Epoch: [1][700/2743]	Time 0.016 (0.017)	Data 0.000 (0.000)	Loss 5.6294 (5.6665)	Prec@1 3.125 (0.655)	Prec@5 3.125 (2.987)
Epoch: [1][800/2743]	Time 0.017 (0.017)	Data 0.000 (0.000)	Loss 5.7303 (5.6669)	Prec@1 0.000 (0.632)	Prec@5 0.000 (2.899)
Epoch: [1][900/2743]	Time 0.016 (0.017)	Data 0.000 (0.000)	Loss 5.6627 (5.6664)	Prec@1 0.000 (0.635)	Prec@5 0.000 (2.910)
Epoch: [1][1000/2743]	Time 0.016 (0.017)	Data 0.000 (0.000)	Loss 5.6826 (5.6664)	Prec@1 0.000 (0.624)	Prec@5 9.375 (2.903)
Epoch: [1][1100/2743]	Time 0.016 (0.017)	Data 0.000 (0.000)	Loss 5.6693 (5.6663)	Prec@1 0.000 (0.627)	Prec@5 0.000 (2.864)
Epoch: [1][1200/2743]	Time 0.016 (0.017)	Data 0.000 (0.000)	Loss 5.7065 (5.6666)	Prec@1 0.000 (0.622)	Prec@5 0.000 (2.821)
Epoch: [1][1300/2743]	Time 0.017 (0.017)	Data 0.000 (0.000)	Loss 5.6656 (5.6670)	Prec@1 0.000 (0.625)	Prec@5 0.000 (2.820)
Epoch: [1][1400/2743]	Time 0.016 (0.017)	Data 0.000 (0.000)	Loss 5.6769 (5.6670)	Prec@1 3.125 (0.633)	Prec@5 3.125 (2.824)
Epoch: [1][1500/2743]	Time 0.017 (0.017)	Data 0.000 (0.000)	Loss 5.7087 (5.6671)	Prec@1 0.000 (0.618)	Prec@5 3.125 (2.794)
Epoch: [1][1600/2743]	Time 0.016 (0.017)	Data 0.000 (0.000)	Loss 5.6093 (5.6668)	Prec@1 0.000 (0.630)	Prec@5 6.250 (2.813)
Epoch: [1][1700/2743]	Time 0.017 (0.017)	Data 0.000 (0.000)	Loss 5.7047 (5.6664)	Prec@1 0.000 (0.639)	Prec@5 0.000 (2.840)
Epoch: [1][1800/2743]	Time 0.017 (0.017)	Data 0.000 (0.000)	Loss 5.6039 (5.6664)	Prec@1 3.125 (0.639)	Prec@5 3.125 (2.846)
Epoch: [1][1900/2743]	Time 0.017 (0.017)	Data 0.000 (0.000)	Loss 5.6993 (5.6663)	Prec@1 0.000 (0.631)	Prec@5 3.125 (2.854)
Epoch: [1][2000/2743]	Time 0.016 (0.017)	Data 0.000 (0.000)	Loss 5.7035 (5.6663)	Prec@1 0.000 (0.626)	Prec@5 3.125 (2.861)
Epoch: [1][2100/2743]	Time 0.016 (0.017)	Data 0.000 (0.000)	Loss 5.6222 (5.6659)	Prec@1 0.000 (0.631)	Prec@5 3.125 (2.866)
Epoch: [1][2200/2743]	Time 0.016 (0.017)	Data 0.000 (0.000)	Loss 5.5860 (5.6657)	Prec@1 0.000 (0.625)	Prec@5 3.125 (2.850)
Epoch: [1][2300/2743]	Time 0.017 (0.017)	Data 0.000 (0.000)	Loss 5.7028 (5.6650)	Prec@1 0.000 (0.621)	Prec@5 3.125 (2.845)
