Epoch: [0][0/2743]	Time 0.428 (0.428)	Data 0.115 (0.115)	Loss 5.7090 (5.7090)	Prec@1 0.000 (0.000)	Prec@5 0.000 (0.000)
Epoch: [0][100/2743]	Time 0.016 (0.021)	Data 0.000 (0.001)	Loss 5.7029 (5.7028)	Prec@1 0.000 (0.248)	Prec@5 0.000 (1.640)
Epoch: [0][200/2743]	Time 0.016 (0.019)	Data 0.000 (0.001)	Loss 5.7132 (5.6997)	Prec@1 0.000 (0.389)	Prec@5 0.000 (2.099)
Epoch: [0][300/2743]	Time 0.016 (0.018)	Data 0.000 (0.000)	Loss 5.7007 (5.6969)	Prec@1 0.000 (0.581)	Prec@5 3.125 (2.419)
Epoch: [0][400/2743]	Time 0.017 (0.018)	Data 0.000 (0.000)	Loss 5.6922 (5.6953)	Prec@1 0.000 (0.584)	Prec@5 0.000 (2.424)
Epoch: [0][500/2743]	Time 0.017 (0.017)	Data 0.000 (0.000)	Loss 5.6875 (5.6928)	Prec@1 0.000 (0.586)	Prec@5 0.000 (2.557)
Epoch: [0][600/2743]	Time 0.016 (0.017)	Data 0.000 (0.000)	Loss 5.6954 (5.6904)	Prec@1 0.000 (0.645)	Prec@5 6.250 (2.589)
Epoch: [0][700/2743]	Time 0.016 (0.017)	Data 0.000 (0.000)	Loss 5.6791 (5.6880)	Prec@1 0.000 (0.655)	Prec@5 3.125 (2.639)
Epoch: [0][800/2743]	Time 0.016 (0.017)	Data 0.000 (0.000)	Loss 5.6675 (5.6859)	Prec@1 0.000 (0.640)	Prec@5 0.000 (2.630)
Epoch: [0][900/2743]	Time 0.016 (0.017)	Data 0.000 (0.000)	Loss 5.6519 (5.6851)	Prec@1 0.000 (0.614)	Prec@5 9.375 (2.622)
Epoch: [0][1000/2743]	Time 0.016 (0.017)	Data 0.000 (0.000)	Loss 5.6422 (5.6840)	Prec@1 0.000 (0.621)	Prec@5 3.125 (2.657)
